,postag
236,"[('alhamdulilah', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('puas', 'JJ'), ('berkeluh', 'CD'), ('kesah', 'NN'), ('biaya', 'NN'), ('murah', 'JJ'), ('di', 'IN'), ('rumah', 'NN'), ('memudahkan', 'VB'), ('diksi', 'NN'), ('resep', 'NN'), ('dikasi', 'NN'), ('penjelasan', 'NN'), ('detail', 'NN'), ('bayar', 'VB'), ('konsultasi', 'NN'), ('diskon', 'RB'), ('terima', 'VB'), ('kasih', 'NN'), ('so', 'FW'), ('halodoc', 'FW')]"
237,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('disat', 'NN'), ('pandemi', 'NN'), ('dokter', 'NN'), ('dokter', 'NN'), ('bagus', 'JJ'), ('obat', 'NN'), ('obatan', 'NN'), ('efektif', 'JJ'), ('apalagisuka', 'VB'), ('disc', 'NN'), ('konsultasi', 'NN')]"
238,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('sat', 'NN')]"
239,"[('alhamdulilah', 'MD'), ('membantu', 'VB'), ('keluarga', 'NN'), ('setahun', 'NN'), ('mengunakan', 'VB'), ('halodoc', 'NN'), ('alhamdulilah', 'NN'), ('hasiat', 'NN'), ('obat', 'NN'), ('obatan', 'NN'), ('kasih', 'NN'), ('bagus', 'JJ'), ('bagus', 'JJ')]"
240,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('harga', 'NN'), ('konsultasi', 'NN'), ('bersahabat', 'NN'), ('dokter', 'NN'), ('ramah', 'JJ')]"
241,"[('dokter', 'NN'), ('ramah', 'NN'), ('respo', 'NN'), ('cepat', 'JJ'), ('direkomendasikan', 'VB'), ('bersyukur', 'NN'), ('halodoc', 'FW'), ('repot', 'FW'), ('repot', 'FW'), ('kerumah', 'NN'), ('sakit', 'NN'), ('obat', 'NN'), ('langsung', 'RB'), ('dikirim', 'VB')]"
242,"[('bagus', 'JJ'), ('membantu', 'VB'), ('respon', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('rumah', 'NN'), ('sakit', 'JJ'), ('tertawa', 'VB'), ('konsultasi', 'NN'), ('obat', 'NN'), ('dikirim', 'VB'), ('rumah', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
243,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('rumah', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('anak', 'NN'), ('sakit', 'JJ'), ('suruh', 'CD'), ('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB')]"
244,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('kesehatan', 'NN')]"
245,"[('pakai', 'VB'), ('aplk', 'FW'), ('halodoc', 'FW'), ('bingung', 'VB'), ('konsultasi', 'NN'), ('doc', 'NN'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
246,"[('senang', 'NN'), ('deh', 'VB'), ('aplikasi', 'NN'), ('mempermudah', 'JJ'), ('sehat', 'JJ'), ('konsultasi', 'NN'), ('daring', 'NN'), ('disat', 'NN'), ('kondisi', 'NN'), ('pandemi', 'JJ')]"
247,"[('pertanyan', 'NN'), ('kesehatan', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('ramah', 'NN'), ('jawabanya', 'RB')]"
248,"[('anjuran', 'NN'), ('kasih', 'NN'), ('obat', 'NN'), ('tips', 'NN'), ('berguna', 'SC')]"
249,"[('trimaksih', 'MD'), ('mas', 'VB'), ('amirul', 'NN'), ('cepat', 'JJ'), ('merespon', 'NN'), ('surat', 'NN'), ('bagus', 'JJ'), ('pekerjaan', 'NN'), ('man', 'NN'), ('kesulitan', 'NN'), ('aktifkan', 'VB'), ('lokasi', 'NN'), ('login', 'RB'), ('tolong', 'VB'), ('dibantu', 'RB'), ('senoari', 'VB')]"
250,"[('mantap', 'RB'), ('secepat', 'VB'), ('kilat', 'NN'), ('penjelasan', 'NN'), ('detail', 'NN')]"
251,"[('ramah', 'NN'), ('ramah', 'NN'), ('mantapo', 'NN'), ('selaumemberikan', 'VB'), ('penjelasan', 'NN'), ('butuhkan', 'VB')]"
252,"[('membantu', 'VB'), ('kondisi', 'NN'), ('covid', 'FW')]"
253,"[('maf', 'NN'), ('ta', 'NN'), ('rapid', 'NN'), ('antigen', 'NN'), ('kemayoran', 'NN'), ('metode', 'NN'), ('pembayaran', 'NN'), ('pakai', 'VB'), ('anjungan', 'NN'), ('tunai', 'JJ'), ('mandiri', 'VB'), ('bri', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
254,"[('dokter', 'NN'), ('ramah', 'NN'), ('penjelasan', 'NN'), ('akurat', 'JJ')]"
255,"[('terima', 'CD'), ('kasih', 'NN'), ('dok', 'NN'), ('semoga', 'SC'), ('bermanfat', 'VB')]"
256,"[('aplikasi', 'NN'), ('mantap', 'RB'), ('murah', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
257,"[('membantu', 'VB'), ('bermanfat', 'NN'), ('disat', 'NN'), ('pandemi', 'NN'), ('obat', 'NN'), ('dianjurkan', 'VB'), ('cepat', 'JJ'), ('menyembuhkan', 'VB'), ('sesuai', 'JJ'), ('penyakit', 'NN'), ('sasaran', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
258,"[('mantap', 'NN'), ('konsultasi', 'NN'), ('jam', 'NN'), ('nol', 'NN'), ('sepuluh', 'CD'), ('obat', 'NN'), ('langsung', 'RB'), ('jam', 'NN'), ('sebelas', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('semoga', 'NN'), ('obat', 'NN'), ('cocok', 'JJ')]"
259,"[('dokter', 'NN')]"
260,"[('pembayaran', 'NN'), ('ovo', 'NN'), ('dana', 'NN'), ('iya', 'PRP')]"
261,"[('bagus', 'JJ'), ('kasih', 'NN'), ('informasi', 'NN'), ('menarik', 'VB')]"
262,"[('mantap', 'RB'), ('murah', 'JJ'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('bayar', 'VB'), ('gopay', 'FW')]"
263,"[('membantu', 'VB'), ('pengalaman', 'NN')]"
264,"[('penanganan', 'NN'), ('suka', 'VB'), ('panik', 'NN'), ('self', 'FW'), ('diagnose', 'FW'), ('berta', 'CC'), ('langsung', 'RB'), ('ahli', 'VB'), ('teman-teman', 'NN')]"
265,"[('pemesanan', 'NN'), ('pengiriman', 'NN'), ('obat', 'NN'), ('cepat', 'JJ'), ('membantu', 'VB'), ('keadan', 'NN'), ('mendesak', 'VB'), ('ayah', 'NN'), ('obat', 'NN'), ('jantung', 'NN'), ('secepat', 'JJ'), ('jam', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
266,"[('aplikasi', 'NN'), ('mantap', 'RB'), ('membantu', 'VB')]"
267,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('dokter', 'NN'), ('respon', 'NN'), ('cepat', 'JJ')]"
268,"[('pelayanan', 'NN'), ('hasil', 'NN'), ('cepat', 'JJ'), ('diterima', 'VB'), ('customer', 'NN')]"
269,"[('chat', 'VB'), ('dokter', 'NN'), ('membantu', 'VB')]"
270,"[('praktis', 'JJ'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
271,"[('w', 'MD'), ('kirim', 'VB'), ('mata', 'NN'), ('m', 'FW'), ('yun', 'FW'), ('ukm', 'FW'), ('j', 'FW'), ('mi', 'FW')]"
272,"[('puas', 'JJ'), ('halodoc', 'FW'), ('cepat', 'JJ'), ('tangap', 'VB')]"
273,"[('berbayar', 'VB'), ('gratis', 'JJ'), ('na', 'NN'), ('obat', 'NN'), ('batuk', 'VB'), ('pilek', 'NN'), ('terbaik', 'JJ'), ('dijual', 'VB'), ('warung', 'NN'), ('ngak', 'NN'), ('paham', 'NN'), ('perbedan', 'NN'), ('obat', 'NN'), ('lumayan', 'NN'), ('lihat', 'VB'), ('dokter', 'NN'), ('cantik', 'NN'), ('pengalaman', 'NN'), ('lulusan', 'NN'), ('bintang', 'NN'), ('pas', 'JJ')]"
274,"[('terima', 'CD'), ('kasih', 'NN'), ('dokter', 'NN'), ('uji', 'NN'), ('asiah', 'NN'), ('m', 'FW'), ('sc', 'FW'), ('dokter', 'FW'), ('ramah', 'NN'), ('penjelasan', 'NN'), ('senang', 'NN'), ('konsultasi', 'NN'), ('bu', 'NN'), ('dokter', 'NN')]"
275,"[('sedang', 'MD'), ('apa', 'WH'), ('mengantri', 'NN'), ('klinik', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('dokter', 'NN'), ('lebih', 'RB'), ('baik', 'JJ'), ('halodoc', 'FW'), ('tingal', 'FW'), ('klik', 'NN'), ('konsultasi', 'NN'), ('keluhan', 'NN'), ('tungu', 'NN'), ('obat', 'NN'), ('beres', 'FW'), ('halodoc', 'FW'), ('keren', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('kasih', 'FW'), ('halodoc', 'FW')]"
276,"[('bintang', 'NN'), ('pilihan', 'NN'), ('pembayaran', 'NN'), ('terbatas', 'NN'), ('dievaluasi', 'NN'), ('pilihan', 'NN'), ('pembayaran', 'NN'), ('linkaja', 'RB'), ('transfer', 'VB'), ('mengunakan', 'VB'), ('rekening', 'NN'), ('virtual', 'JJ')]"
277,"[('paket', 'NN'), ('pertangung', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('dana', 'NN'), ('diganti', 'NN'), ('proses', 'NN')]"
278,"[('sat', 'NN'), ('bintang', 'NN'), ('coba', 'VB'), ('masuk', 'VB'), ('halodoc', 'NN'), ('langsung', 'RB'), ('sinyal', 'NN'), ('telepon', 'NN'), ('genggam', 'NN'), ('mendukung', 'VB')]"
279,"[('alhamdulilah', 'NN'), ('konsultasi', 'NN'), ('langsung', 'RB'), ('dokter', 'NN'), ('spesialis', 'NN'), ('semoga', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
280,"[('kali', 'NND'), ('konsultasi', 'NN'), ('memuaskan', 'VB'), ('lumayan', 'NN'), ('ramah', 'JJ')]"
281,"[('penolong', 'VB'), ('user', 'FW'), ('friendly', 'FW')]"
282,"[('membantu', 'VB'), ('sat', 'NN'), ('kondisi', 'NN'), ('dtng', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('pasien', 'NN'), ('aman', 'JJ'), ('sehat', 'JJ'), ('t', 'NN'), ('jaga', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('pertahankan', 'VB'), ('respon', 'NN'), ('cepat', 'JJ'), ('dokter', 'NN')]"
283,"[('konsultasi', 'NN'), ('pakai', 'VB'), ('bayar', 'NN'), ('kaya', 'JJ'), ('lebih', 'RB'), ('baik', 'JJ'), ('langsung', 'RB'), ('rumah', 'NN'), ('sakit', 'JJ'), ('langsung', 'RB'), ('kasih', 'MD'), ('obat', 'VB'), ('buka', 'VB'), ('membantu', 'VB'), ('inimah', 'NN')]"
284,"[('membantu', 'VB'), ('disat', 'NN'), ('urgent', 'FW'), ('membutuhkan', 'VB'), ('obat', 'NN'), ('malam', 'NN'), ('haripun', 'SC'), ('chat', 'VB'), ('dokter', 'NN'), ('spesialis', 'NN'), ('obat', 'NN'), ('cepat', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('gosend', 'FW')]"
285,"[('kode', 'NN'), ('voucher', 'FW'), ('bilang', 'FW'), ('invalid', 'FW')]"
286,"[('proses', 'NN'), ('mudah', 'JJ'), ('cepat', 'JJ'), ('pemesanan', 'NN'), ('obat', 'NN')]"
287,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('mudah', 'JJ'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('semoga', 'NN'), ('sakit', 'JJ'), ('sembuh', 'VB'), ('amin', 'NN')]"
288,"[('membantu', 'VB'), ('sakit', 'NN'), ('mag', 'NN'), ('kosan', 'NN'), ('berjalan', 'VB'), ('apotek', 'NN'), ('pesan', 'NN'), ('halodoc', 'FW'), ('beli', 'VB'), ('gojek', 'NN'), ('puji', 'VB'), ('tuhan', 'NN'), ('langsung', 'RB'), ('minum', 'NN'), ('obat', 'NN'), ('sembuh', 'VB'), ('untung', 'NN'), ('halodoc', 'FW')]"
289,"[('bagus', 'JJ'), ('bermanfat', 'VB'), ('teratas', 'NN')]"
290,"[('praktis', 'JJ'), ('dokter', 'NN'), ('pelayanan', 'NN'), ('ramah', 'NN'), ('oke', 'FW')]"
291,"[('praktis', 'JJ'), ('puas', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
292,"[('halodoc', 'MD'), ('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('hamil', 'NN'), ('puas', 'JJ'), ('respon', 'NN'), ('ramah', 'NN'), ('dokter', 'FW'), ('dokter', 'FW'), ('halodoc', 'FW'), ('terbaik', 'JJ')]"
293,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('setidak', 'VB'), ('apotek', 'NN'), ('pesan', 'NN'), ('obat', 'NN'), ('rutin', 'NN'), ('suami', 'NN'), ('semoga', 'NN'), ('smakin', 'RB'), ('bagus', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
294,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('antre', 'NN'), ('pembelian', 'NN'), ('obat', 'NN'), ('mudah', 'JJ'), ('langsung', 'RB'), ('diantar', 'IN'), ('rumah', 'NN')]"
295,"[('dokter', 'NN'), ('tangap', 'VB'), ('cepat', 'JJ'), ('respon', 'NN')]"
296,"[('halo', 'FW'), ('doc', 'FW'), ('cal', 'FW'), ('center', 'FW'), ('halo', 'FW'), ('dokter', 'FW'), ('menelepon', 'FW'), ('menawarkan', 'FW'), ('prodak', 'FW'), ('unlimited', 'FW'), ('perbulan', 'NN'), ('puluh', 'CD'), ('sembilan', 'CD'), ('nol', 'NN'), ('sistem', 'NN'), ('auto', 'NN'), ('debit', 'NN'), ('fasilitas', 'NN'), ('bebas', 'JJ'), ('chat', 'VB'), ('dokter', 'NN'), ('fitur', 'NN'), ('aplikasi', 'NN'), ('berubah', 'VB'), ('tarif', 'NN'), ('fre', 'NN'), ('ulasan', 'NN'), ('lengkap', 'VB')]"
297,"[('dokter', 'NN'), ('balas', 'NN'), ('cepat', 'JJ'), ('ramah', 'JJ')]"
298,"[('halo', 'FW'), ('doc', 'FW'), ('barusan', 'NN'), ('telepon', 'NN'), ('mengatas', 'NN'), ('namakan', 'VB'), ('halodoc', 'NN'), ('email', 'NN'), ('pribadi', 'NN'), ('data', 'NN'), ('nmor', 'NN'), ('rekening', 'NN'), ('anjungan', 'NN'), ('tunai', 'JJ'), ('mandiri', 'VB'), ('bner', 'FW'), ('halodoc', 'FW'), ('mohon', 'FW'), ('informasi', 'NN'), ('bner', 'NN'), ('iya', 'NN'), ('bong', 'VB'), ('data', 'NN'), ('anjungan', 'NN'), ('tunai', 'IN'), ('mandiri', 'NN'), ('membawa', 'VB'), ('kepihak', 'NN'), ('ulasan', 'NN'), ('lengkap', 'VB')]"
299,"[('bingung', 'VB'), ('biaya', 'NN'), ('penanganan', 'NN'), ('biaya', 'NN'), ('ongkos', 'NN'), ('kirim', 'NN'), ('tidak', 'NEG'), ('tahu', 'VB'), ('biaya', 'NN'), ('penanganan', 'NN'), ('ongkos', 'NN'), ('kirim', 'NN'), ('tertawa', 'VB'), ('jatoh', 'NN'), ('murah', 'JJ'), ('tengkyu', 'FW'), ('halodoc', 'FW')]"
300,"[('respon', 'NN'), ('customer', 'FW'), ('service', 'FW'), ('lambat', 'JJ'), ('keluhan', 'NN')]"
301,"[('pesan', 'NN'), ('obat', 'NN'), ('susah', 'JJ'), ('mencari', 'VB'), ('driver', 'NN'), ('pesan', 'NN'), ('ofline', 'FW'), ('sih', 'FW'), ('langsung', 'RB'), ('apotek', 'NN'), ('kasih', 'MD'), ('lihat', 'VB'), ('resep', 'NN')]"
302,"[('mantap', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('enak', 'NN')]"
303,"[('mf', 'FW'), ('download', 'FW'), ('aplikasi', 'NN'), ('pingn', 'NN'), ('gejala', 'NN'), ('sakit', 'JJ'), ('alami', 'PRP'), ('kenakan', 'VB'), ('biaya', 'NN'), ('bulanan', 'NN')]"
304,"[('alhamdulilah', 'MD'), ('terbantu', 'VB'), ('konsultasi', 'NN'), ('penyakit', 'NN'), ('obat', 'NN'), ('terima', 'OD')]"
305,"[('alhamdulilah', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB')]"
306,"[('terima', 'CD'), ('kasih', 'NN'), ('serba', 'NN'), ('cepat', 'JJ')]"
307,"[('pagi', 'NN'), ('pagi', 'NN'), ('konsultasi', 'NN'), ('bu', 'NN'), ('dokter', 'NN'), ('cantik', 'NN'), ('diagnosis', 'NN'), ('resep', 'NN'), ('terjangkau', 'NN'), ('bahasa', 'NN'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('iya', 'NN'), ('dok', 'VB')]"
308,"[('halodoc', 'MD'), ('map', 'VB'), ('sebelumnyah', 'NN'), ('ta', 'NN'), ('mingu', 'NN'), ('hidung', 'VB'), ('mencium', 'NN'), ('bau', 'NN'), ('coba', 'VB'), ('doc', 'FW')]"
309,"[('rekomendasi', 'NN'), ('didownload', 'NN'), ('kesulitan', 'NN'), ('mencari', 'VB'), ('membeli', 'VB'), ('obat', 'NN'), ('dibutuhkan', 'VB')]"
310,"[('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
311,"[('mag', 'NN'), ('kambuh', 'VB'), ('berat', 'NN'), ('dokter', 'NN'), ('untung', 'NN'), ('halodoc', 'FW'), ('selesai', 'VB'), ('konsultasi', 'NN'), ('daring', 'FW'), ('resep', 'FW'), ('langsung', 'RB'), ('diorder', 'NN'), ('lewar', 'VB'), ('gojek', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
312,"[('mantap', 'NN'), ('super', 'NN'), ('cepat', 'JJ'), ('pengiriman', 'NN'), ('semoga', 'NN'), ('obat', 'NN'), ('manjur', 'NN'), ('cepat', 'JJ'), ('berkhasiat', 'NN'), ('secepat', 'JJ'), ('pengiriman', 'NN'), ('sukses', 'FW'), ('halodoc', 'FW')]"
313,"[('pelayanan', 'NN'), ('pengobatan', 'NN'), ('penyembuhan', 'NN')]"
314,"[('halo', 'FW'), ('doc', 'FW'), ('balita', 'NN'), ('usia', 'NN'), ('puluh', 'CD'), ('beberap', 'VB'), ('telinga', 'NN'), ('anak', 'NN'), ('sebelah', 'NN'), ('kanan', 'NN'), ('cairan', 'NN'), ('bau', 'NN'), ('sih', 'NN'), ('anak', 'NN'), ('kdang', 'NN'), ('memukul', 'NN'), ('telingan', 'NN'), ('telapak', 'NN'), ('tangan', 'NN'), ('iya', 'NN'), ('doc', 'NN'), ('dikasih', 'NN'), ('obat', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
315,"[('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('sat', 'NN'), ('malam', 'NN'), ('sakit', 'NN'), ('pingang', 'NN'), ('salah', 'JJ'), ('rekan', 'VB'), ('dokter', 'NN'), ('bernama', 'VB'), ('fen', 'NN'), ('membantu', 'VB'), ('sakit', 'JJ')]"
316,"[('buatin', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('gratis', 'JJ'), ('donk', 'NN')]"
317,"[('pandemi', 'SC'), ('membantu', 'VB'), ('klik', 'NN'), ('halodoc', 'FW'), ('terhubung', 'VB'), ('konsultasi', 'NN'), ('obat', 'NN'), ('langsung', 'RB'), ('diantar', 'IN')]"
318,"[('suda', 'VB'), ('pembayaran', 'NN'), ('chat', 'VB'), ('pembayaran', 'NN'), ('berhasil', 'VB'), ('chat', 'VB'), ('dokter', 'NN'), ('sibuk', 'JJ')]"
319,"[('kesekian', 'NN'), ('kali', 'NN'), ('konsultasi', 'NN'), ('dokter', 'FW'), ('dokter', 'FW'), ('halodoc', 'FW'), ('kali', 'NN'), ('konsultasi', 'NN'), ('nency', 'FW'), ('sp', 'FW'), ('a', 'FW'), ('bingung', 'VB'), ('mingu', 'NN'), ('dokter', 'NN'), ('dokter', 'NN'), ('spesialis', 'NN'), ('libur', 'VB'), ('praktik', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('iya', 'NN'), ('dok', 'VB')]"
320,"[('membantu', 'VB'), ('obat', 'NN'), ('langsung', 'RB'), ('diantar', 'IN'), ('sat', 'NN'), ('gopay', 'FW'), ('halodoc', 'FW'), ('saldo', 'FW'), ('great', 'FW')]"
321,"[('instal', 'NN'), ('aplikasi', 'NN'), ('wlopun', 'SC'), ('tertawa', 'VB'), ('bagus', 'JJ'), ('lengkap', 'VB'), ('mudah', 'JJ'), ('instal', 'NN'), ('coba', 'VB'), ('konsultasi', 'NN'), ('gizi', 'NN'), ('ah', 'NN'), ('keren', 'NN'), ('dokter', 'NN'), ('asik', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('aditya', 'NN'), ('mulyantari', 'NN'), ('sp', 'JJ')]"
322,"[('pesan', 'NN'), ('obat', 'NN'), ('halodoc', 'NN'), ('status', 'NN'), ('terkirim', 'NN'), ('terima', 'VB'), ('obat', 'NN'), ('ditlp', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('diurus', 'FW'), ('boro', 'FW'), ('boro', 'FW'), ('penyelesaian', 'NN'), ('aplikasi', 'NN'), ('bagus', 'JJ'), ('pelayanan', 'NN'), ('buruk', 'JJ')]"
323,"[('hai', 'VB'), ('halodoc', 'NN'), ('cari', 'VB'), ('swab', 'VB'), ('antigen', 'NN'), ('rsatau', 'CC'), ('klinik', 'NN'), ('terdekat', 'JJ'), ('reading', 'FW'), ('iya', 'FW'), ('crash', 'FW'), ('mohon', 'FW'), ('dibantu', 'FW')]"
324,"[('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
325,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('dokter', 'NN'), ('di', 'IN'), ('dalam', 'NN'), ('bertangung', 'VB'), ('bangat', 'NN'), ('semoga', 'NN'), ('aplikasi', 'NN'), ('berkembang', 'VB'), ('dimasa', 'NN')]"
326,"[('bagus', 'JJ'), ('dokter', 'NN'), ('direkomendasikan', 'VB')]"
327,"[('diperbaiki', 'VB'), ('verifikasi', 'NN'), ('kode', 'NN'), ('otp', 'NN'), ('pembayaran', 'NN'), ('gopay', 'FW'), ('berulang', 'NN'), ('berulang', 'NN'), ('sukses', 'JJ'), ('terima', 'VB'), ('kasih', 'MD')]"
328,"[('terbantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('obat', 'NN'), ('dikirim', 'VB'), ('langsung', 'RB'), ('apotek', 'NN'), ('bayar', 'VB'), ('cashles', 'NN')]"
329,"[('mudah', 'JJ'), ('mengunakan', 'VB'), ('halodoc', 'FW'), ('repot', 'FW'), ('repot', 'FW'), ('antre', 'FW'), ('antre', 'FW'), ('rumah', 'NN'), ('sakit', 'NN'), ('klinik', 'NN'), ('klik', 'NN'), ('konsultasi', 'NN'), ('ksh', 'FW'), ('resep', 'FW'), ('obat', 'FW'), ('thanks', 'FW'), ('halodoc', 'FW'), ('semoga', 'FW'), ('dokter', 'FW'), ('sukses', 'FW'), ('amin', 'FW')]"
330,"[('membantu', 'VB'), ('cepat', 'JJ'), ('praktis', 'JJ'), ('memuaskan', 'VB')]"
331,"[('log', 'NN'), ('out', 'VB'), ('sat', 'NN'), ('verifikasi', 'NN'), ('kode', 'NN'), ('dikirim', 'VB'), ('sms', 'NN'), ('error', 'NN')]"
332,"[('era', 'NN'), ('pandemi', 'NN'), ('dokter', 'NN'), ('konsultasi', 'NN'), ('daring', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
333,"[('perlayan', 'NN'), ('sopan', 'NN'), ('lokasi', 'NN'), ('mudah', 'JJ'), ('area', 'NN'), ('luas', 'JJ'), ('sehinga', 'NN'), ('memudahkan', 'VB'), ('vaksin', 'NN'), ('menjalankan', 'VB'), ('proses', 'NN'), ('m', 'FW'), ('bravo', 'FW')]"
334,"[('membantu', 'VB'), ('aman', 'JJ'), ('selagi', 'IN'), ('pandemi', 'NN'), ('malas', 'NN'), ('antre', 'NN'), ('penjelasan', 'NN'), ('memuaskan', 'VB')]"
335,"[('terbantu', 'VB'), ('aplikasi', 'NN'), ('dokter', 'NN')]"
336,"[('konsultasi', 'NN'), ('dokter', 'NN'), ('cepat', 'JJ'), ('direspon', 'NN'), ('pesan', 'NN'), ('obat', 'NN'), ('status', 'NN'), ('pembayaran', 'NN'), ('dibatalkan', 'VB'), ('ih', 'NN'), ('sebel', 'NN')]"
337,"[('bagus', 'JJ'), ('suka', 'VB'), ('aplikasi', 'NN')]"
338,"[('pembayaran', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN')]"
339,"[('bagus', 'JJ'), ('pelayanan', 'NN'), ('cepat', 'JJ')]"
340,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('dokter', 'NN'), ('sabar', 'NN'), ('keluhan', 'NN'), ('pasien', 'NN')]"
341,"[('konsultasi', 'NN'), ('dokter', 'NN'), ('mudah', 'JJ'), ('menenangkan', 'VB'), ('sat', 'NN'), ('panik', 'NN'), ('sehinga', 'NN'), ('pertolongan', 'NN'), ('sat', 'NN'), ('sakit', 'JJ')]"
342,"[('bagus', 'JJ'), ('bnget', 'NN'), ('pelayanan', 'NN')]"
343,"[('selamat', 'NN'), ('siang', 'NN'), ('halo', 'NN'), ('dokter', 'NN'), ('barusan', 'NN'), ('telepon', 'NN'), ('mengatasnamakan', 'VB'), ('customer', 'FW'), ('service', 'FW'), ('halo', 'FW'), ('dokter', 'FW'), ('claim', 'FW'), ('dana', 'NN'), ('jt', 'NN'), ('data', 'NN'), ('lengkap', 'VB'), ('email', 'NN'), ('nomor', 'NN'), ('rekening', 'NN'), ('bank', 'NN'), ('aneh', 'JJ'), ('email', 'NN'), ('nama', 'NN'), ('nomor', 'NN'), ('rek', 'NN'), ('un', 'NN'), ('ulasan', 'NN'), ('lengkap', 'VB')]"
344,"[('dikasih', 'MD'), ('bonus', 'JJ'), ('kaki', 'VB'), ('beli', 'VB'), ('obat', 'NN'), ('pakai', 'VB'), ('halo', 'FW'), ('doc', 'FW')]"
345,"[('alhamdulilah', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('dokter', 'NN'), ('pertanyan', 'NN'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
346,"[('terima', 'CD'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB')]"
347,"[('cepat', 'JJ'), ('tangap', 'VB'), ('ribet', 'NN')]"
348,"[('terbaik', 'JJ'), ('konsultasi', 'NN'), ('terbaik', 'JJ')]"
349,"[('sat', 'NN'), ('malam', 'NN'), ('malam', 'NN'), ('sakit', 'NN'), ('kontak', 'NN'), ('halodoc', 'FW'), ('langsung', 'RB'), ('konsuli', 'VB'), ('obat', 'NN'), ('kirim', 'NN'), ('membantu', 'VB'), ('hinga', 'NN'), ('infokan', 'VB'), ('teman', 'NN'), ('teman', 'NN')]"
